year,title,abstract,full_text
1987,A Computer Simulation of Cerebral Neocortex: Computational Capabilities of Nonlinear Neural Networks,,A  COMPUTER  SIMULATION  OF  CEREBRAL  NEOCORTEX: COMPUTATIONAL  CAPABILITIES  OF  NONLINEAR  NEURAL  NETWORKS 715 Alexander  Singer*  and  John  P.  Donoghue** *Department  of  Biophysics
1987,PATTERN CLASS DEGENERACY IN AN UNRESTRICTED STORAGE DENSITY MEMORY,,674 P A 'ITERN CLASS DEGENERACY IN AN UNRESTRICfED STORAGE DENSITY MEMORY Christopher L. Scofield
1987,Strategies for Teaching Layered Networks Classification Tasks,,850 Strategies for  Teaching  Layered  Networks Classification Tasks Ben  S.  Wittner 1  and John S.  Denker AT&T  Bell  Laboratories Holmdel
1987,Invariant Object Recognition Using a Distributed Associative Memory,,830 Invariant Object Recognition Using a  Distributed Associative Memory Harry Wechsler and George Lee Zimmerman Department or Electrical Engineering University or Minnesota Minneapolis
1987,Cycles: A Simulation Tool for Studying Cyclic Neural Networks,,290 CYCLES:  A  Simulation Tool for  Studying Cyclic Neural  Networks Texas Instruments Incorporated
1987,Learning on a General Network,,22 LEARNING  ON A  GENERAL NETWORK Amir F.  Atiya Department of Electrical Engineering California Institute of Technology Ca 91125 Abstract This paper generalizes the backpropagation method to a  general network containing feed(cid:173)back t
1987,Neural Net and Traditional Classifiers,,387 Neural Net  and  Traditional Classifiers1 William  Y.  Huang  and  Richard P.  Lippmann MIT Lincoln  Laboratory Lexington
1987,Scaling Properties of Coarse-Coded Symbol Memories,,652 Scaling Properties of Coarse-Coded  Symbol Memories Ronald  Rosenfeld David S.  Touretzky Computer Science Department Carnegie Mellon  University Pittsburgh
1987,Synchronization in Neural Nets,,824 SYNCHRONIZATION IN  NEURAL NETS University of California Los Angeles
1987,A NEURAL NETWORK CLASSIFIER BASED ON CODING THEORY,,174 A Neural Network Classifier Based on Coding Theory Tzt-Dar Chlueh and Rodney Goodman eanrornla Instltute of Technology. Pasadena. eanromla 91125 ABSTRACT The new neural network classifier we propose transforms the classification problem into the coding theory problem of decoding a noisy codeword. An input vector in the feature space is transformed into an internal representation which is a codeword in the code space
1987,Microelectronic Implementations of Connectionist Neural Networks,,515 MICROELECTRONIC  IMPLEMENTATIONS  OF  CONNECTIONIST NEURAL  NETWORKS Stuart Mackie
1987,Analysis of Distributed Representation of Constituent Structure in Connectionist Systems,,730 Analysis of distributed representation of constituent structure in connectionist systems Department of Computer Science
1987,Hierarchical Learning Control - An Approach with Neuron-Like Associative Memories,,249 HIERARCHICAL  LEARNING  CONTROL  -AN  APPROACH  WITH  NEURON-LIKE  ASSOCIATIVE  MEMORIES ISRA  Systemtechnik  GmbH
1987,Presynaptic Neural Information Processing,,154 PRESYNApnC NEURAL INFORMAnON PROCESSING L.  R.  Carley Department of Electrical and  Computer  Engineering Carnegie  Mellon  University
1987,An Optimization Network for Matrix Inversion,,397 AN  OPTIMIZATION  NETWORK  FOR  MATRIX  INVERSION Ju-Seog  Jang
1987,Basins of Attraction for Electronic Neural Networks,,524 BASINS  OF  ATTRACTION  FOR ELECTRONIC  NEURAL  NETWORKS C.  M.  Marcus R.  M.  Westervelt Division  of  Applied  Sciences  and  Department  of  Physics Harvard  University
1987,Programmable Synaptic Chip for Electronic Neural Networks,,564 PROGRAMMABLE  SYNAPTIC  CHIP  FOR ELECTRONIC  NEURAL  NETWORKS A.  Moopenn
1987,Learning a Color Algorithm from Examples,,622 LEARNING A COLOR ALGORITHM FROM EXAMPLES Anya C. Hurlbert and Tomaso A. Poggio Artificial Intelligence Laboratory and Department of Brain and Cognitive Sciences
1987,Generalization of Back propagation to Recurrent and Higher Order Neural Networks,,602 GENERALIZATION OF BACKPROPAGATION TO RECURRENT AND HIGHER ORDER NEURAL NETWORKS Fernando J.  Pineda Applied Physics Laboratory
1987,Neural Network Implementation Approaches for the Connection Machine,,127 Neural Network Implementation Approaches for the Connection Machine Nathan H. Brown
1987,On the Power of Neural Networks for Solving Hard Problems,,137 On the Power of Neural Networks for Solving Hard Problems J ehoshua Bruck Joseph W.  Goodman Information Systems Laboratory Departmen t  of Electrical Engineering Stanford University Stanford
1987,HOW THE CATFISH TRACKS ITS PREY: AN INTERACTIVE PIPELINED PROCESSING SYSTEM MAY DIRECT FORAGING VIA RETICULOSPINAL NEURONS,,402 HOW THE PROCESSING CATFISH TRACKS ITS PREY: AN PIPELINED SYSTEM MAY DIRECT FORAGING VIA RETlCULOSPINAL NEURONS. INTERACTIVE Dept. of Cellular & Structural Biology
1987,Phasor Neural Networks,,584 PHASOR  NEURAL  NETVORKS Andr J.  Noest
1987,Computing Motion Using Resistive Networks,,422 COMPUTING  MOTION  USING  RESISTIVE  NETWORKS Christof Koch
1987,Experimental Demonstrations of Optical Neural Computers,,377 EXPERIMENTAL  DEMONSTRATIONS  OF OPTICAL NEURAL  COMPUTERS Ken  Hsu
1987,MURPHY: A Robot that Learns by Doing,,544 MURPHY: A Robot that Learns by Doing Bartlett W. Mel Center for Complex Systems Research University of Illinois 508 South Sixth Street Champaign
1987,SPONTANEOUS AND  INFORMATION-TRIGGERED SEGMENTS OF SERIES OF HUMAN BRAIN ELECTRIC FIELD MAPS,,467 SPONTANEOUS AND INFORMATION-TRIGGERED SEGMENTS OF SERIES OF HUMAN BRAIN ELECTRIC FIELD MAPS D. lehmann
1987,Simulations Suggest Information Processing Roles for the Diverse Currents in Hippocampal Neurons,,82 SIMULATIONS  SUGGEST INFORMATION PROCESSING ROLES FOR THE DIVERSE  CURRENTS  IN HIPPOCAMPAL NEURONS Lyle J.  Borg-Graham Harvard-MIT Division of Health Sciences and Technology and Center for  Biological Information Processing
1987,An Artificial Neural Network for Spatio-Temporal Bipolar Patterns: Application to Phoneme Classification,,31 AN  ARTIFICIAL NEURAL NETWORK FOR SPATIO(cid:173)TEMPORAL BIPOLAR PATTERNS:  APPLICATION TO PHONEME CLASSIFICATION Toshiteru  Homma Les E.  Atlas Robert J.  Marks II Interactive Systems Design Laboratory Department of Electrical Engineering
1987,Teaching Artificial Neural Systems to Drive: Manual Training Techniques for Autonomous Systems,,693 Teaching Artificial Neural Systems to Drive: Manual Training Techniques for Autonomous Systems J. F. Shepanski and S. A. Macy TRW
1987,Correlational Strength and Computational Algebra of Synaptic Connections Between Neurons,,270 Correlational Strength and Computational Algebra of Synaptic Connections Between Neurons Eberhard E. Fetz Department of Physiology & Biophysics
1987,Static and Dynamic Error Propagation Networks with Application to Speech Coding,,632 STATIC AND DYNAMIC ERROR PROPAGATION NETWORKS WITH APPLICATION TO SPEECH CODING A J Robinson
1987,Schema for Motor Control Utilizing a Network Model of the Cerebellum,,367 SCHEMA I'OR  MOTOR  CONTROL OT ILl ZING  A  NETWORK  MODEL  01'  THE  CEREBELLUM Northwestern  University  Medical  School
1987,Distributed Neural Information Processing in the Vestibulo-Ocular System,,457 DISTRIBUTED NEURAL INFORMATION PROCESSING IN THE VESTIBULO-OCULAR SYSTEM Cliord Lau Oice of Naval Research Detach ment Pasadena
1987,Time-Sequential Self-Organization of Hierarchical Neural Networks,,709 TIME-SEQUENTIAL  SELF-ORGANIZATION  OF  HIERARCHICAL NEURAL  NETWORKS Ronald  H.  Silverman Cornell  University  Medical  College
1987,A Method for the Design of Stable Lateral Inhibition Networks that is Robust in the Presence of Circuit Parasitics,,860 A  METHOD  FOR  THE  DESIGN  OF  STABLE  LATERAL  INHIBITION NETWORKS  THAT  IS  ROBUST  IN  THE  PRESENCE OF  CIRCUIT  PARASITICS J.L.  WYATT
1987,Constrained Dierential Optimization,,612 Constrained  Dierential  Optimization John  C.  Platt Alan H.  Barr California Institute of Technology
1987,Encoding Geometric Invariances in Higher-Order Neural Networks,,301 ENCODING  GEOMETRIC  INVARIANCES  IN HIGHER-ORDER  NEURAL  NETWORKS Air  Force  Oice  of  Scientific  Research
1987,A Novel Net that Learns Sequential Decision Process,,760 A  NOVEL NET THAT LEARNS SEQUENTIAL DECISION PROCESS G.Z.  SUN
1987,Mathematical Analysis of Learning Behavior of Neuronal Models,,164 MATHEMATICAL ANALYSIS  OF LEARNING BEHAVIOR OF NEURONAL MODELS By JOHN  Y.  CHEUNG MASSOUD  OMIDVAR SCHOOL  OF  ELECTRICAL  ENGINEERING  AND  COMPUTER  SCIENCE UNIVERSITY  OF  OKLAHOMA NORMAN
1987,New Hardware for Massive Neural Networks,,201 NEW HARDWARE FOR MASSIVE NEURAL NETWORKS D.  D.  Coon and A.  G. U.  Perera Applied Technology Laboratory University of Pittsburgh Pittsburgh
1987,An Adaptive and Heterodyne Filtering Procedure for the Imaging of Moving Objects,,662 AN ADAPTIVE AND HETERODYNE FILTERING PROCEDURE FOR THE IMAGING OF MOVING OBJECTS F. H. Schuling
1987,Phase Transitions in Neural Networks,,192 PHASE  TRANSITIONS  IN  NEURAL  NETWORKS University  of  Wisconsin
1987,Using Neural Networks to Improve Cochlear Implant Speech Perception,,783 USING NEURAL NETWORKS TO IMPROVE COCHLEAR IMPLANT SPEECH PERCEPTION Manoel F.  Tenorio School  of Electrical Engineering Purdue University West Lafayette
1987,Self-Organization of Associative Database and Its Applications,,767 SELF-ORGANIZATION OF  ASSOCIATIVE DATABASE AND  ITS  APPLICATIONS Hisashi  Suzuki  and  Suguru Arimoto Osaka University
1987,Temporal Patterns of Activity in Neural Networks,,297 TEMPORAL PATTERNS OF ACTIVITY IN NEURAL NETWORKS Paolo Gaudiano Dept.  of Aerospace  Engineering Sciences
1987,High Order Neural Networks for Eicient Associative Memory Design,,233 HIGH ORDER NEURAL NETWORKS FOR EICIENT ASSOCIATIVE MEMORY DESIGN I.  GUYON·
1987,The Capacity of the Kanerva Associative Memory is Exponential,,184 THE  CAPACITY  OF  THE  KANERVA  ASSOCIATIVE  MEMORY  IS  EXPONENTIAL Stanford  University.  Stanford.  CA  94305 P.  A.  Choul ABSTRACT The  capacity  of  an  associative  memory  is  defined  as  the  maximum number  of  vords  that  can  be  stored  and  retrieved  reliably  by  an  address vithin  a  given  sphere  of  attraction.  It  is  shown  by  sphere  packing arguments  that  as  the  address  length  increases.  the  capacity  of  any associati ve  memory  is  limited  to  an  exponential  grovth  rate  of  1 - h2 ( 0). vhere  h2(0)  is  the  binary  entropy  function  in  bits.  and  0  is  the  radius of  the  sphere  of  attraction.  This  exponential  grovth  in  capacity  can actually  be  achieved  by  the  Kanerva  associative  memory.  if  its parameters  are  optimally  set .  Formulas  for  these  op.timal  values  are provided.  The  exponential  grovth  in  capacity  for  the  Kanerva associative  memory  contrasts  sharply  vith  the  sub-linear  grovth  in capacity  for  the  Hopfield  associative  memory. ASSOCIATIVE  MEMORY  AND  ITS  CAPACITY Our  model  of  an  associative  memory  is  the  folloving.  Let  ()(
1987,The Sigmoid Nonlinearity in Prepyriform Cortex,,242 THE SIGMOID NONLINEARITY IN PREPYRIFORM CORTEX Frank H.  Eeckman University of California
1987,Probabilistic Characterization of Neural Model Computations,,310 PROBABILISTIC CHARACTERIZATION OF NEURAL MODEL COMPUTATIONS Richard M. Golden t University of Pittsburgh
1987,Learning in Networks of Nondeterministic Adaptive Logic Elements,,840 LEARNING IN NETWORKS OF NONDETERMINISTIC ADAPTIVE LOGIC ELEMENTS Richard  C.  Windecker* AT&T Bell Laboratories
1987,HIGH DENSITY ASSOCIATIVE MEMORIES,,HIGH DENSITY ASSOCIATIVE MEMORIES! 211 Information Systems Laboratory
1987,A Mean Field Theory of Layer IV of Visual Cortex and Its Application to Artificial Neural Networks,,683 A MEAN FIELD THEORY OF LAYER IV OF VISUAL CORTEX AND ITS  APPLICATION TO ARTIFICIAL NEURAL NETWORKS* Christopher  L.  Scofield Center  for  Neural  Science  and  Physics  Department Brown  University Providence
1987,Neural Networks for Template Matching: Application to Real-Time Classification of the Action Potentials of Real Neurons,,NEURAL  NETWORKS  FOR  TEMPLATE MATCHING: APPLICATION  TO  REAL-TIME  CLASSIFICATION OF  THE  ACTION  POTENTIALS  OF  REAL  NEURONS 103 Yiu-fai  Wongt
1987,Capacity for Patterns and Sequences in Kanerva's SDM as Compared to Other Associative Memory Models,,412 CAPACITY FOR PATTERNS AND  SEQUENCES IN  KANERVA'S SDM AS  COMPARED TO OTHER ASSOCIATIVE MEMORY MODELS James  O.  Keeler Chemistry Department
1987,The Connectivity Analysis of Simple Association,,338 The Connectivity Analysis of Simple Association - or-How Many Connections Do You Need! Dan Hammerstrom * Oregon Graduate Center
1987,Performance Measures for Associative Memories that Learn and Forget,,432 Performance Measures for Associative Memories that Learn and Forget Anthony /(uh Department of Electrical  Engineering University  of Hawaii  at Manoa Honolulu HI
1987,Centric Models of the Orientation Map in Primary Visual Cortex,,62 Centric Models of the Orientation Map in Primary Visual Cortex Department of Computer Science
1987,A Computer Simulation of Olfactory Cortex with Functional Implications for Storage and Retrieval of Olfactory Information,,114 A Computer Simulation of Olfactory Cortex With Functional Implications for Storage and Retrieval of Olfactory Information Matthew A. Wilson and James M. Bower Computation and Neural Systems Program Division of Biology
1987,Towards an Organizing Principle for a Layered Perceptual Network,,485 TOWARDS AN  ORGANIZING PRINCIPLE FOR A LAYERED PERCEPTUAL NETWORK IBM Thomas J.  Watson Research Center
1987,A Trellis-Structured Neural Network,,592 A Trellis-Structured Neural Network* Thomas Petschet and Bradley W. Dickinson Princeton University
1987,Supervised Learning of Probability Distributions by Neural Networks,,52 Supervised Learning of Probability Distributions by Neural Networks Eric B. Baum Jet Propulsion Laboratory
1987,Stochastic Learning Networks and their Electronic Implementation,,9 Stochastic Learning Networks and their Electronic Implementation Joshua Alspector*. Robert B. Allen. Victor Hut. and Srinagesh Satyanarayanat Bell Communications Research. Morristown. NJ  01960 We describe a family  of learning algorithms that operate on a recurrent
1987,Connecting to the Past,,505 CONNECTING TO THE PAST Bruce  A.  MacDonald
1987,PARTITIONING OF SENSORY DATA BY A CORTICAL NETWORK,,317 PARTITIONING OF SENSORY DATA BY A CORTICAL NETWORK1 Richard Granger
1987,A Dynamical Approach to Temporal Pattern Processing,,750 A DYNAMICAL APPROACH TO TEMPORAL PATTERN PROCESSING W. Scott Stornetta Stanford University
1987,Minkowski-r Back-Propagation: Learning in Connectionist Models with Non-Euclidian Error Signals,,348 Minkowski-r Back-Propaaation:  Learnine in Connectionist Models with Non-Euclidian Error Silllais Stephen Jose Hanson and David J. Burr Bell Communications Research Morristown
1987,Analysis and Comparison of Dierent Learning Algorithms for Pattern Association Problems,,72 ANALYSIS AND COMPARISON OF DIERENT LEARNING ALGORITHMS FOR PATTERN ASSOCIATION PROBLEMS J. Bernasconi Brown Boveri Research Center CH-S40S Baden
1988,Neural Control of Sensory Acquisition: The Vestibulo-Ocular Reflex,,410 NEURAL CONTROL OF SENSORY ACQUISITION: THE VESTIBULO-OCULAR REFLEX. Michael G. Paulin
1988,Modeling the Olfactory Bulb - Coupled Nonlinear Oscillators,,402 MODELING  THE  OLFACTORY BULB - COUPLED NONLINEAR OSCILLATORS Zhaoping Lit J.  J.  Hopfield· t  Division of Physics
1988,Eicient Parallel Learning Algorithms for Neural Networks,,40 EICIENT PARALLEL LEARNING ALGORITHMS FOR NEURAL NETWORKS Alan H. Kramer and A. Sangiovanni-Vincentelli Department of EECS U .C. Berkeley Berkeley
1988,The Boltzmann Perceptron Network: A Multi-Layered Feed-Forward Network Equivalent to the Boltzmann Machine,,116 THE BOLTZMANN PERCEPTRON NETWORK: A MULTI-LAYERED FEED-FORWARD NETWORK EQUIVALENT TO THE BOLTZMANN MACHINE Eyal Yair  and  Allen Gersho Center for Infonnation Processing Research Department of Electrical &  Computer Engineering University of California
1988,Neural Networks that Learn to Discriminate Similar Kanji Characters,,332 NEURAL NETWORKS THAT LEARN TO DISCRIMINATE SIMILAR KANJI  CHARACTERS Yoshihiro  Morl Kazuhiko  Yokosawa ATR  Auditory  and  Visual  Perception  Research  Laboratories 2-1-61  Shiromi  Higashiku  Osaka  540  Japan ABSTRACT is to network is  applied feed-forward two  new  methods  are  utilized characters.  Using a learning  algorithm.  a the  problem  of b a c  k three(cid:173)A  neural  network recognizing  Kanji propagation  network layered. trained recognize  similar  handwritten  Kanji  characters. addition. training  eective.  The higher analysis  of  connection  weights  showed the  hierarchical networks  can  discern Kanji  characters.  This  strategy  of makes  high results eective  for  Kanji  character  recognition. to In to  make recognition  accuracy  was that  of  conventional  methods.  An that trained structure  of trained  networks recognition  accuracy  possible.  Our very that  neural  networks suggest than are 1  INTRODUCTION these  networks  has  been  better  than Neural  networks  are  applied  to  recognition  tasks  in  many  fields. the  field  of  letter  recognition.  net work s with  good  results.  In have  been  made  which  recognize  hand-written  digits [Burr  1986] 1988].  The and  complex  printed  Chinese that  of performance  of conventional  methods.  However. still large  number  of rudimentary  when  we  consider  not  only in  hand-written Kanji  characters.  but characters.  We  are  aiming that recognizes in  Japan. Since  it  is  diicult  for  a  single  network  to  discriminate  3000 characters.  our  plan by the  3000  Kanji  characters  commonly  used large-scale  network the involved the  distortion to  create  a to  make  a large-scale characters network results these [Ho are is Neural Networks that Learn Kanji Characters 333 assembling  many  smaller  ones  that  would  each  be  responsible  for recognizing  only  a small  number  of  characters. There  are  two  issues  concerning  implementation  of  such  a scale  network  :  the  ability  of  individual  networks.  and  organizing the  networks.  As  a  first  step.  the  ability  of  a  small  network  to discriminate  similar  Kanji  characters  was investigated.  We  found learning  speed  and  performance  of  networks  are  highly that influenced  by  environment the  order.  number. and  repetition  of  training  samples).  New  methods  of  teaching  the environment  are  utilized  to  make learning  eective. instance. large(cid:173)the (for 2  NEW TYPES  OF TEACHERS 2.1  PROBLEMS  OF  BACKPROPAGATION learning algorithm  only teaches The  Backpropagation(BP) the correct  answers  [Rumelhart  1986].  BP  does  not  care  about recognition  rate  of  each  category.  If  we  use  ordinary  BP in  a if  there  are  both  easy  and situation  of  limited  resources.  and diicult  categories  to learn  in  the  training  set.  what  happens  is that  the  easier  category  uses  up  most  of  the  resources  in  the  early stages  of  training the  diicult category  to  learn  should  get  more  resources.  This  weakness  of  BP makes (Figure  1).  Yet.  for  eiciency. learning  time  longer. the learning  procedures the  real Two  new  methods  are  used isolation. world. There  is  also  a  learning  environment.  It  is  therefore  natural.  and even  necessary. incorporate environmental to  avoid (human)  do  not  exist this  problem.  In in teaching  methods to  devise factors. that 334 Morl and Yokosawa Separation  by  BP Figure  1.  Easily  Learned  Category Ideal  Separation Takes  more  Resources Environment (The  feature  space  of  samples) Learning Procedur Category Back  Propagation Figure  2. Two  New  methods Neural Networks that Learn Kanji Characters 335 2.2  FIRST  METHOD  (REVIEW  METHOD) tracks is  focused  on  categories the  performance  for  each  category.  At  first
1988,Computer Modeling of Associative Learning,,COMPUTER  MODELING  OF  ASSOCIATIVE  LEARNING DANIEL  L.  ALKON' FRANCIS  QUEK2a THOMAS  P.  VOGL2b 419 1.  Laboratory  for  Cellular  and  Molecular NeurobiologYt  NINCDS t  NIH t  Bethesda t  MD  20892 2.  Environmental  Research  Institute  of  Michigan a)  P.O.  Box  8G18 t  Ann  Arbor t  MI  48107 b)  1501  Wilson  Blvd. t  Suite  1105 t  Arlington t  VA  22209 INTRODUCTION learning in The  eort  is  des i gned Most  of  the  current  neural  networks  use  models  which  have only  tenuous  connections  to  the  biological  neural  systems on  which  they  purport  to  be  based t  and  negligible  input from  the  neuroscience/biophysics  communities.  This  paper describes  an  ongoing  eort  which  approaches  neural  net research  in  a  program  of  close  collaboration  of  neuros(cid:173)c i ent i sts  and  eng i neers. to elucidate  associative the  marine  snail Hermissenda  crassicornis t  in  which  Pavlovian  conditioning has  been  observed.  Learning  has  been  isolated  in  the  four neuron  network  at  the  convergence  of  the  v i sua 1  and vestibular  pathways this  animal t  and  biophysical changes t  specific  to  learning t  have  been  observed  in  the membrane  of  the  photoreceptor  B cell.  A basic  charging capacitance  model  of  a  neuron  is  used  and  enhanced  with biologically  plausible  mechanisms  that  are  necessary  to replicate  the  eect  of  learning  at  the  cellular  level. These  mechanisms  are  non-linear  and  are t  primarilYt instances  of  second  order  control  systems  (e.g. t  fatigue t modul at i on  of  membrane time  dependent rebound)t  but  also  include  shunting  and  random  background fi ri ng. The  output  of  the  model  of  the  four- neuron network  di sp 1 ays  changes in  the  temporal  vari at i on  of membrane  potential  similar  to  those  observed  in  electro(cid:173)physiological  measurements. res i stance t in 420 Alkon
1988,Links Between Markov Models and Multilayer Perceptrons,,502 LINKS BETWEEN MARKOV MODELS AND MULTILAYER PERCEPTRONS H. Bourlard t
1988,Skeletonization: A Technique for Trimming the Fat from a Network via Relevance Assessment,,107 SKELETONIZATION: A TECHNIQUE FOR TRIMMING THE FAT FROM A NETWORK VIA RELEVANCE ASSESSMENT Michael C. Mozer Paul Smolensky Department of Computer Science & Institute of Cognitive Science University of Colorado Boulder
1988,A Passive Shared Element Analog Electrical Cochlea,,662 A  PASSIVE  SHARED  ELEMENT  ANALOG ELECTRICAL  COCHLEA Joe Eisenberg Bioeng. Group U.C. Berkeley Edwin Lewis Dept Elect. Eng. U.C. Berkeley David Feld Dept. Elect. Eng. 207-30 Cory Hall U.C. Berkeley Berkeley
1988,Speech Production Using A Neural Network with a Cooperative Learning Mechanism,,232 SPEECH  PRODUCTION  USING  A  NEURAL NETWORK  WITH  A  COOPERATIVE LEARNING  MECHANISM International Institute for Advanced Study of Social Information Science
1988,Associative Learning via Inhibitory Search,,20 ASSOCIATIVE LEARNING VIA INHIBITORY SEARCH David H.  Ackley Bell  Communications Research Cognitive Science  Research Group ABSTRACT ALVIS is  a  reinforcement-based  connectionist  architecture  that learns  associative  maps  in  continuous  multidimensional  environ(cid:173)ments.  The  discovered  locations  of  positive  and  negative  rein(cid:173)forcements  are  recorded  in  do be  and  don't  be  subnetworks
1988,Performance of a Stochastic Learning Microchip,,748 Performance of a Stochastic Learning Microchip Joshua Alspector
1988,Song Learning in Birds,,795 SONG  LEARNING  IN  BIRDS M.  Konishi Division of Biology California Institute of Technology Birds  sing  to communicate.  Male  birds  use  song  to advertise their territories  and attract females.  Each  bird  species  has a  unique song or set of songs.  Song conveys both species  and  individual  identity.  In  most  species
1988,Modeling Small Oscillating Biological Networks in Analog VLSI,,384 MODELING  SMALL  OSCILLATING BIOLOGICAL NETWORKS IN ANALOG  VLSI Sylvie  Ryckebusch
1988,Comparing Biases for Minimal Network Construction with Back-Propagation,,177 COMPARING BIASES FOR MINIMAL NETWORK CONSTRUCTION WITH BACK-PROPAGATION Stephen Jo~ Hansont Lorien Y. Pratt Bell Communications Research Morristown. New Jersey 07960 New Brunswick. New Jersey 08903 Rutgers University ABSTRACT learning representations during Rumelhart (1987). has proposed a method for choosing minimal or simple in Back-propagation networks. This approach can be used to (a) dynamically select the number of hidden units. (b) construct a representation that is appropriate for the problem and (c) thus improve the generalization ability of Back-propagation networks. The method Rumelhart suggests involves adding penalty terms to the usual error function. In this paper we introduce Rumelhart·s minimal networks idea and compare two possible biases on the weight search space. These biases are compared in both simple counting problems and a speech recognition problem. In general. the constrained search does seem to minimize the number of hidden units required with an expected increase in local minima. INTRODUCTION Many supervised connectionist models use gradient descent in error to solve various kinds of tasks (Rumelhart. Hinton & Williams. 1986). However. such gradient descent methods tend to be .opportunistic and can solve problems in an arbitrary way dependent on starting point in weight space and peculiarities of the training set. For example. in Figure 1 we show a mesh problem which consists of a random distribution of exemplars from two categories. The spatial geometry of the categories impose a meshed or overlapping subset of the exemplars in the two dimensional feature space. As the meshed part of the categories increase the problem becomes more complex and must involve the combination of more linear cuts in feature space and consequently more nonlinear cuts for category separation. In the top left corner of Figure l(a). we show a mesh geometry requiring only three cuts for category separation. In the bottom center t Also member of Cognitive Science Laboratory
